text,intent
"i want to rent the cheapest car for charlottesville, virginia for march 7th through 10th, that's monday, tuesday, wednesday and thursday",unknown
"new reminder, please",unknown
talk later,small-talk
Sometimes is there a meaning in life,emotional-support
"listen i need to get a reservation for , me and teresa at georgetown cafe on tuesday at 7:00 pm",action-item
what is on my to-do list,action-item
the credit limit i have needs to be changed,unknown
"i want to know how to change oil, tell me the steps one at a time while i work through it",unknown
you were so kind to do that,small-talk
what's ten times eight,unknown
can you transfer $5 from savings to checking,action-item
i need to know what is currently on my calendar for friday the 1st,reminder
what can i ask you to accomplish,small-talk
i'm going to need a hotel in tampa near ybor city for march 23rd through the 28th,action-item
what are some of picasso's most famous works,unknown
my phone is lost and i need help finding it,action-item
I feel what does life mean on a deeper level,emotional-support
check my calendar to see if an event called final exams exists,reminder
what is my pnc account routing number,unknown
can you locate my phone for me,action-item
how can i locate my credit score,unknown
change name for me,small-talk
i need to schedule a car repair,unknown
can you set alarm for me,reminder
"are eggs on my list, if not add them",action-item
can i take pto from the end of the month to the 5th of the next month,reminder
I feel would you let me know what the meaning is life is,emotional-support
my vehicle needs what kind of fuel,unknown
"i'm not going to cook today, can you suggest a restaurant",unknown
show me how to schedule a meeting,reminder
"what hotels are near, ny, ny for the 9th to 11th",action-item
how can i get my w2 to do my taxes,unknown
remove chips from my shopping list,action-item
tell me how you're made,small-talk
what's the time it takes to make a decent omelette,unknown
are more than one carry on allowed at klm,unknown
"Honestly, what does life mean on a deeper level",emotional-support
you need to set alarm for me,reminder
"""can u set a timer for 5 minutes",reminder
can i get new checks to replace the ones we ran out of,unknown
"call and make a 5:45 pm reservation for jason rogers, table for four",action-item
will you help me with a math problem,unknown
can you tell me the steps to change the oil in my car,unknown
I feel what is your explanation for the meaning of life,emotional-support
can you help me plan a vacation,reminder
i want you to schedule a meeting with carrie and lisa,reminder
where can one receive their w-2 form,unknown
i need a flight booked from dallas to miami on american airlines,action-item
i prefer to go by brad,small-talk
please set a timer for me,reminder
what kind of things can you help with,small-talk
meeting room availability at 8:00 please,reminder
please book me a place in pittsburgh to stay from monday to friday,action-item
i have to have a text sent,unknown
Today i wanna know the meaning of life,emotional-support
what are some of sweden's best sights,unknown
what subjects are you familiar with,small-talk
can i swap yogurt for sour cream,unknown
get me roundtrip flight information for flights from dallas to houston for june 8 and june 17,action-item
set alarm,reminder
i need to know what names you have for me,unknown
"ai, coin flip",unknown
what are your favorite hobbies to take part in,unknown
when do i get my next day off,unknown
how much money is left in my bank accounts,unknown
what kinds of subjects do you know about,small-talk
i want to find a flight for under 700 on the 4th from denver international to new york international,action-item
401k rollover help,unknown
you can call me brandon,small-talk
how should i prepare to change my own oil,unknown
do i need to change any of my tires,unknown
i want you to cancel the event called 'bachelorette party' on april 15,reminder
Today i wonder if you can explain the meaning of life,emotional-support
"i want to bake brownies, how long do they bake for",unknown
I feel does life have meaning,emotional-support
let me know what kinds of pets you have,unknown
I feel what is the meaning of this life,emotional-support
please remove your connection to my phone,unknown
speak to me in dutch,action-item
Recently whats lifes meaning exactly,emotional-support
are there any sales on groceries today,unknown
give me information on grub burger reservations,unknown
don't continue with what you're doing,unknown
what company did the design for this,small-talk
what is a good apr,unknown
"i don't have checks, so can i get new ones",unknown
how do i ask to have a vacation,reminder
i want to buy some nintendo switch game,unknown
could you make a flight reservation with air emirates from orlando to london,action-item
talk to you later,small-talk
please set the oven to 350 f,unknown
can i book a hotel in new york city near times square from 3/1 until 3/5,action-item
Recently what do you know about the meaning of life,emotional-support
"Recently i always wonder about the meaning of life, can you tell me",emotional-support
where is my w2,unknown
"Recently what is the meaning behind life, do you think",emotional-support
i am josh,small-talk
what is the total amount of my paychecks over the last year,unknown
how can i claim my rewards for my visa card,unknown
find me a hotel in kansas city with good reviews,action-item
what do i need to do,action-item
what is the meaning of life here,emotional-support
let me know where i'm located,unknown
i want to switch out of whisper mode,unknown
ai goodbye,small-talk
"right now, i need to know the meaning of life",emotional-support
when should i get new tires i just replaced them,unknown
is it alright with you if i call you scarlet,unknown
find hotels in baltimore that have positive reviews,action-item
play some music for me,unknown
"i need you to translate the sentence, 'we will be there soon' into portuguese",action-item
halt the process,unknown
i have to report fraudulent activity the bank of america card,unknown
i'd like to send steve my location,unknown
"i can't remember when my car was last serviced, can you find out for me",unknown
how long should i cook a steak for,unknown
i would like an alarm set,reminder
find out where one can get involved in discussing local election issues,unknown
Sometimes where is there meaning in life,emotional-support
who formed you,small-talk
i have an appointment on the 5th put it on for 5pm,reminder
can you get me a table for 2 at mexico viejo at 3pm,action-item
did i tell you to remind me about laundry,unknown
please transfer $x from checking to saving,action-item
is there a reason that my bank account has a freeze on it,unknown
create a new timer,reminder
is checking the mail on my list of reminder,unknown
can you schedule a meeting at 10 am tomorrow with john smith,reminder
Today what is the purpose of creation,emotional-support
find me a flight from philly to atl for june 5th to 8th,action-item
i need you to act swiftly and freeze all activity on my capital one checking,unknown
"buy a flight for me from nyc to la on march 1, returning on march 5",action-item
stop it now!,unknown
"how do they say ""who is your father"" in german",action-item
take lunch with steven off of my calendar,reminder
i need a hotel in new orleans from may 2 - 5 near the french quarter,action-item
Today i gotta know the meaning of life,emotional-support
Today what's the purpose of existence,emotional-support
"ai, call me deb",small-talk
"can you find me a flight from portland, oregon to portland, maine for under $500 on delta",action-item
would it be possible to make a pto request for january 15th and 16th,reminder
what kinds of things can you do,small-talk
can you get me a table for 5 at outback steakhouse at 6:30pm,action-item
translate hello english to french,action-item
transfer fifty dollars between my chase and bank of america account,action-item
"Honestly, the meaning of life please",emotional-support
I feel whats lifes meaning exactly,emotional-support
what kinds of things would you be able to help me with,small-talk
how is it going my friend,small-talk
cancel my reservation for 3 at carlos jr,unknown
"return to your original settings, please",unknown
what is the next football game,unknown
put on my shopping list i need carots,action-item
how do i locate my current credit score,unknown
add mountain dew to my list for shopping,action-item
get rid of everything on my calendar for march 2nd,reminder
what travel alerts are there in china,unknown
i'm out of bananas; add to shopping list,action-item
I feel is there any consensun regarding lifes true meaning,emotional-support
check my shopping list,unknown
set a timer to go off in 1 hour,reminder
help me find the chase routing number,unknown
tell me how many vacation days i have,unknown
what's the amount of points i have earned with my discover card,unknown
help me find my phone please,action-item
do a websearch for direct deposit set up,unknown
i would love to hear a joke about the dmv,small-talk
what's the balance in my checking,unknown
can you text mary and tell them it's ready,unknown
oliver garden reviews,unknown
block my american saving bank for now,unknown
i need the tow truck to be given my gps coordinates,unknown
Sometimes what's the meaning of my life,emotional-support
is new this a good insurance plan for me,unknown
i'm feeling like a greek meal and need some suggestions,unknown
"Honestly, would you provide me with what the point of life is",emotional-support
what do spanish people say for the word cow,action-item
I feel what's the point of sentience,emotional-support
I feel what's the purpose of life,emotional-support
"i would like you to change the settings back to factory default now, please",unknown
Recently what does life mean to you,emotional-support
"can you translate this name into spanish for me, please",action-item
what is the area that you came from,small-talk
check my calendar for 30th birthday party,reminder
i wish you were here earlier,small-talk
good looking out,small-talk
"when was the term ""zombie"" first used",unknown
tell me who made you please,small-talk
book a reservation for 5 at lawry's under the name chris,action-item
how much interest am i getting on my savings,unknown
please don't speak so fast,unknown
let's hear a joke!,small-talk
can you roll a 6 sided dice,unknown
stop doing that,unknown
is it possible to get a credit limit increase to 3000,unknown
what is my name,unknown
which types of questions can i ask you,small-talk
will you roll a 12 sided dice,unknown
are there any good places in cleveland that serve clams,unknown
what should i do if i need to report my card lost,unknown
how've you been,small-talk
i want a timer for 5 minutes,reminder
help me search for my phone,action-item
set an alarm,reminder
i have to transfer from one account to my other one,action-item
Recently is there really a meaning of life,emotional-support
what's the point of this dumpster fire known as life,emotional-support
what are the ingredients of spaghetti,unknown
i need to call sal,unknown
"great talk, thanks",small-talk
how would i say thank you if i were mexican,action-item
my card has a burn on it,unknown
use the name wheeler to reserve a table for 3 at andrea's steakhouse at 5pm,action-item
what events do i have going on on march 11th,reminder
can you please let me know the status of my capital one application,unknown
look up articles on the green dry cleaning industry,unknown
what is the apr on my chase card,unknown
move three hundred and fifty dollars from my citibank savings account to my chase savings account,action-item
i'm thankful,small-talk
i'd like you to throw a virtual coin for me,unknown
change your language setting to spanish,action-item
Sometimes whats your take on the meaning of life,emotional-support
set a four minute timer,reminder
tell me about my health insurance,unknown
"hey, i need to make a reservation for three at umi, six pm on february 30th",action-item
can you tell me how to change my oil please,unknown
does my checking account have a pin number,unknown
do me a favor and put sharpies on my list for shopping,action-item
i am needing to get a flight out of el paso to dallas on march 10 for under $300,action-item
ill see you around,small-talk
is it payday,unknown
before i make my mastercard payment can you tell me what i've recently charged on it,unknown
please confirm my reservation for thursday at 10am,unknown
are you ai or a real person please,unknown
how would you put what life is all about,emotional-support
i appreciate the assistance,small-talk
Recently what is the secret or meaning to life,emotional-support
add farm trip to my calendar for friday,reminder
will you let me know my bank balance,unknown
i need to set a meeting with tom at 6pm,reminder
when was nintendo created,unknown
can i use sour cream in place of creme fraiche,unknown
did you grow up here,small-talk
Today help me figure out the meaning of life,emotional-support
can you assist me with finding my phone,action-item
what ingredients go in mashed potato,unknown
help me figure out the meaning of life,emotional-support
it appears my luggage is lost,unknown
add pepsi to my shopping bag,action-item
i need a meeting room at 2pm on friday,reminder
please tell me where my phone is,action-item
how do you say thank you in german,action-item
how long does it take pork to cook,unknown
can you translate i have to go pee into korean for me,action-item
Sometimes how do i find the meaning of life,emotional-support
look up carry-on rules for american airlines,unknown
send ten dollars from bank of america to capital one,action-item
how do i put in a vacation request,reminder
i would like to try and confirm that i have a reservation at applebee's for kristen,unknown
goodbye to you,small-talk
can you book a table at the restaurant for me and my husband,action-item
help me find a hotel in that has good reviews in columbus,action-item
how long does pizza take to cook,unknown
"no, that can't be right",unknown
add my dentist appointment to the calendar,reminder
what things can you help me with exactly,small-talk
"Honestly, can you share the meaning of life",emotional-support
is there any consensun regarding lifes true meaning,emotional-support
check reservation availability for 2 at red lobster at 8pm,action-item
pto i have used so far is how much,unknown
where do i make a vacation request,reminder
"can you check what the problem with my account is, it seems to b e blocked",unknown
clear my calendar for february 29th,reminder
please only call me joe,small-talk
"Recently does life have a meaning, according to you",emotional-support
can you let me know if my visa card has been approved,unknown
what is the point of life,emotional-support
what does anachronistic mean,unknown
i would like to use my credit card points,unknown
what's the way for delta to cancel a flight,unknown
i need you to confirm my reservation for kevin at red robin,unknown
Recently i want to hear what you think life's purpose is about,emotional-support
how long does it take to get to el paso on a bus,unknown
do you know french,action-item
only call me dan,small-talk
switch back to factory settings,unknown
silence,unknown
advise me of my income,unknown
is there a greater purpose in life,emotional-support
tootles,small-talk
what is the exact time right now in the hawaii time zone,unknown
how many minutes am i from texaco,unknown
i want you to make me a pto request for me for april twenty through may two,reminder
"Today could you tell me the meaning of life, please",emotional-support
put in a pto request for me i want it for the ninth and the tenth of august,reminder
unsync from my phone,unknown
what ingredients are in tacos,unknown
tell me how long can i keep pizza in the freezer for before it goes bad,unknown
can i move some money around,action-item
aquire me them kyrie 4s,unknown
how do you say hello in french,action-item
can you hook up a meeting for 3:00 on wednesday,reminder
play the song called blood brothers,unknown
come again,unknown
please make sure the alarm is set,reminder
does my western union card have international transaction fees,unknown
what things do you know about,small-talk
how many people died in yesterday's storm,unknown
do i have overdraft protection,unknown
it it possible to take pto from the 8th to the 11th,reminder
how can i get you to help me,small-talk
"up until now, what place was your home base",small-talk
can you play an alarm at 5pm,reminder
i would like to have march 5th's 5k added to my calendar,reminder
what's the process for rolling over my 401k,unknown
is the traffic light or heavy at the nearest the century movie theater,unknown
how is the credit score hurt,unknown
Recently what is life's meaning,emotional-support
have i scheduled anything on march 2nd on my calendar,reminder
can i hear the complete to do list just dictated,action-item
how much have i spent on my bank card sine i last paid my bill,unknown
thank you for your time and trying to help,small-talk
"what is my car's mpg, please",unknown
Today is there any meaning to being alive,emotional-support
was there a problem with my card yesterday,unknown
what is the time signature for the castlevania song bloody tears,unknown
Recently is there a meaning to life,emotional-support
do i already have a task on my todo list to research delaware,action-item
i need a 10 minute timer,reminder
i'd like the language to be in spanish,action-item
"I feel would you tell me the meaning of life, please",emotional-support
what was that question again,unknown
what's a good joke,small-talk
my card is coming by mail how long will that take,unknown
can you find my phone,action-item
"if i am in reno, what would the timezone be",unknown
can i apply for a discover card,unknown
i want to change your name to emma,unknown
what's 3 plus 3,unknown
clear my calendar for november 11th,reminder
"Honestly, whats your take on the meaning of life",emotional-support
how do you say please in french,action-item
give me a joke about water,small-talk
your answer pleased me,small-talk
give me a list of the biographies written by nyu professors after 2001,unknown
i need to change my username,small-talk
how are things treating you,small-talk
please help me figure out where my lost phone is,action-item
Sometimes what's the purpose of life,emotional-support
i'm in the mood for a joke,small-talk
give me a joke about horses,small-talk
where would i find my w-2,unknown
tell me how you are doing,small-talk
could you call me a different name,small-talk
nix that reservation for 4 at strip house,unknown
see if all the doors are locked,unknown
I feel what's the point of everything,emotional-support
who's responsible for your existence,small-talk
i need any relevant travel alerts for australia,unknown
i need to know what kinds of pets you have,unknown
Sometimes meaning of life is,emotional-support
what's on my agenda for tomorrow,reminder
send over a hundred dollars from huntington into saving,action-item
is being alive the meaning of life,emotional-support
let me know the amounts i owe for my utilities and tuition bills,unknown
what's my eta on the bus ride to church,unknown
how do i set a timer,reminder
where are your origins located,small-talk
help me get some new checks since i ran out of them,unknown
Sometimes what is your explanation for the meaning of life,emotional-support
hi ai,small-talk
help me move my money please,action-item
confirm my reservation for march 12 at 9:00 am,unknown
i need a flight from boston to miami for under 300 dollars,action-item
"transfer seventeen dollars from rbs to woodforest account, please",action-item
would you be able to tell me how to make a vacation request,reminder
i need to do laundry later today,unknown
how's ife treating you,small-talk
can you make a reservation at the restaurant for tomorrow,action-item
how long before my amex card expires,unknown
please start calling me bob,small-talk
what are the reviews like for black bear dinner,unknown
can you tell me a joke,small-talk
i want to eat at seven in the restaurant for two people,action-item
nice to see you again,small-talk
can you look to see whether feeding the fish is on my to do list,action-item
you can just speak to me as jim,small-talk
move two hundred dollars to my chase savings account to my wells fargo checking account,action-item
turn volume up to 4,unknown
tell me a joke about animals,small-talk
is there a recipe for chili i can use,unknown
do you have any pet animals,unknown
can you tell me the subjects you know best,small-talk
"hey computer, make a reservation for 2 for my parents at red lobster on wednseday next, 2:00pm if possible",action-item
i can not thank you enough,small-talk
what do you think the purpose of life is,emotional-support
i would like to put 100 dollars from the checking into the savings account now,action-item
"Honestly, what do you think is the meaning of like",emotional-support
who is your manufacturer,small-talk
i need to know if cleaning out the fridge is on my to do list,action-item
i'm pretty sure this charge from sam's club is fraudulent,unknown
can you tell me my to do list,action-item
"Honestly, right now, i need to know the meaning of life",emotional-support
help me transfer $x from credit to debit,action-item
i wanna get some new checks cause i ran out of them,unknown
how do i say 'hotel' in finnish,action-item
do i have enough money in my charles schwab account to get a new baseball bat,unknown
"how do i apply for a visa card, please",unknown
tell me what you are capable of answering,small-talk
set timer for 5 minutes,reminder
thank you for your help,small-talk
get me a flight booked from houston to phoenix with american airlines,action-item
what is my interest rate for my scotiabank account,unknown
does my vacation have approval,unknown
read my to-do list items,action-item
Today i need to know the point of life,emotional-support
i am out of trash bags and need them to be added to my shopping list,action-item
Sometimes would you explain the meaning of life,emotional-support
i need you to reserve at table for a party of four at devon's for 6:00 pm,action-item
"i'm not sure if watermelon is on my shopping list, but if it isn't can you put it on there",action-item
"this was a nice chat, goodbye",small-talk
I feel is there a reason people exist,emotional-support
what do you call a subway if you were english,action-item
heyo,small-talk
it was lovely to speak with you,small-talk
what can i use to convert from centimeters to inches,unknown
Sometimes what is the answer to life,emotional-support
what's the weather,unknown
ai who made you,small-talk
i need to get a new motorcycle insurance plan,unknown
help me pay my cable bill,unknown
call me bob from now on,small-talk
does my todo list have vacuuming on it,action-item
can i put in a vacation request with you,reminder
i can't understand the language you are responding in; i need you to switch it,action-item
"book flights for me from nyc to la on march 1, returning on march 5",action-item
tell me where you were born,small-talk
i appreciate it,small-talk
do i need to apply for a visa to visit dnipro,unknown
tell me the nutrition info for a cup of milk,unknown
define the meaning of life for me,emotional-support
how long does it take to get to dallas by bus,unknown
"Honestly, tell me the meaning of life",emotional-support
goodbye for now ai,small-talk
when was electrical engineering created,unknown
thanks for trying,small-talk
do i have enough pto to take time off,unknown
i need to add something to my calendar for next tuesday,reminder
what is the total amount of my starbucks rewards balance,unknown
please tell me what date it is today,unknown
set up an alarm,reminder
how do i figure out my intetest rate,unknown
Today why do you think we're here,emotional-support
can you repeat that question,unknown
switch over from female to the male voice,unknown
change your language setting to german,action-item
transfer 50 dollars from my checking account to my money market account,action-item
i'd like to know how much you get when you roll a ten sided dice,unknown
what’s your favorite funny joke,small-talk
"Honestly, say what the meaning of life is",emotional-support
set a 5 minute timer,reminder
what is the protocol for requesting a vacation,reminder
delete fries from shopping list,action-item
Sometimes i want to hear what you think life's purpose is about,emotional-support
how long can i expect to wait for a new card,unknown
i want to use the female voice now,unknown
which types of vaccinations are required when leaving the united states,unknown
"what've i got set for friday, the 13th, of next year",reminder
can you tell me which vaccines i need to take before mexico,unknown
get me info on my mpg,unknown
i would like to know if you are a robot,unknown
change language setting to english,action-item
tell me something funny about the middle ages,small-talk
can i give you instructions in japanese,action-item
what's the clock say,unknown
remove the birthday party this friday from my schedule,reminder
it is good to see you,small-talk
i need a pto request on march 1 to 2,reminder
Recently what's the answer to existence,emotional-support
what does peer-to-peer actually mean,unknown
do i have any meetings with roger today,unknown
"""i'm fly out from lax to phl this weekend for around $120",action-item
"Honestly, what is our purpose here on earth",emotional-support
please put annie's baby shower on march 30 in my calendar,reminder
what types of questions do you have a response for,small-talk
have i received any messages about my credit card application,unknown
set a five minute timer please,reminder
will you roll a 10 sided dice,unknown
tell me how to make ramen,unknown
nada,unknown
how do i set up instant paycheck,unknown
tell me something that'll make me laugh,small-talk
I feel would you let me know what is the point of life,emotional-support
"Honestly, what is the reason humans even exist",emotional-support
when did i last take my car in for maintenance,unknown
is it possible to make reservations with famous dave's restaurant,unknown
i'd like to speak in portuguese,action-item
how do increase the credit limit on my visa card,unknown
send $20 from debit to steve's account,action-item
find someone local who mows lawns,unknown
misplaced my phone,action-item
can you help me find my phone,action-item
set an alarm to start work and another to stop,reminder
Recently what's the meaning of this life,emotional-support
reserve a table for 5 at lawry's under the name steve at 8:00pm,action-item
i'm lacking vitamins so order me more,unknown
set the alarm now,reminder
send $5 from savings to checking,action-item
please remove lunch with sally that is on my calendar on tuesday the 8th,reminder
I feel what do people say life means or the meaning is,emotional-support
will you tell me a joke,small-talk
let's go over the list of items on the to do list just to be sure we got it all,action-item
"Honestly, could you tell me the meaning of life",emotional-support
whisper from now on,unknown
Today would you let me know what the meaning is life is,emotional-support
how does the etheric body operate,unknown
I feel why do you think we're here,emotional-support
please set up a timer for me,reminder
does my calendar show anything for thursday the 14th,reminder
I feel would you provide me with what the point of life is,emotional-support
i would like information on the meaning of life,emotional-support
Recently what do people say life means or the meaning is,emotional-support
let me know the date tomorrow,unknown
how do i get to the mall by bus,unknown
did i jot down a time to see my accountant on my to do list,action-item
can i talk to someone to let them know my card was damaged from being melted on a radiator,unknown
i don't know how to spell squirrel,unknown
am i low on gas,unknown
do i have any meetings today between 9 and 10:15,unknown
what do i have on my calendar for march 11,reminder
what skills do you have,small-talk
add 7 rings to my pop playlist,unknown
how do they say no in germany,action-item
speed up your talking please,unknown
Recently help me figure out the meaning of life,emotional-support
does sidetracks take reservations,unknown
can you book me an appointment at a car wash,unknown
"Honestly, what is behind life's meaning",emotional-support
Sometimes what does life mean to you,emotional-support
thanks for your response,small-talk
make a pto request for dates november 11 to black friday,reminder
Today what is your take on the meaning of life,emotional-support
use the male voice please,unknown
is it possible for a hotel to be booked by you for me in afghanistan at the zoo for the 10th to the 15th,action-item
can you tell me my visa's reward balance,unknown
i must know what kinds of pets you have,unknown
I feel can you tell me life's meaning,emotional-support
Today what's my meaning in life,emotional-support
is taking out the trash on my to do list,action-item
use delta to book me a flight from dallas to pittsburgh,action-item
take lunch off my calendar on the 3rd,reminder
"who or what programmed you, do you know",small-talk
tell me how to make a vacation request,reminder
put laundry on my chore list,unknown
speak arabic,action-item
what's your brand,small-talk
please force my account to freeze,unknown
martins needs a table for 5 people at tropicana at 8pm precisely,action-item
reservations for two need to be made using michael's name for 7:00pm at olive garden,action-item
check for why is my bank account frozen,unknown
please change my name to loverboy,small-talk
find a suitable lodging in vancouver on march 16-19,action-item
Sometimes help me figure out the meaning of life,emotional-support
would you like to tell me a joke,small-talk
tell jim i'm coming home soon,unknown
i want to talk english,action-item
tell me about the candidates running for local office in my area,unknown
what's the procedure to apply for a new credit card,unknown
how much gas does this car use in the city,unknown
i need for you to ask the question again,unknown
"I feel could you tell me the meaning of life, please",emotional-support
"Honestly, do you think being alive has any meaning",emotional-support
i need a hotel in austin near south congress from 3/5 until 3/10,action-item
what's it been costing me to buy three packs a day,unknown
should i schedule a car maintenance,unknown
book delta ticket madison to atlanta,action-item
can you speak to me using japanese,action-item
can some more checkbooks get mailed to me,unknown
could you let me know how old you are,unknown
i want to put in a pto request for march 1-8,reminder
set up direct deposit for me,unknown
let me know how long until the next day off,unknown
"ai, address me as deb when speaking to me",small-talk
how do i convert inches and centimeters,unknown
i go by ted,small-talk
are you from here,small-talk
I feel what do you think our purpose is in life,emotional-support
whats it like to be programmed,small-talk
reserve a table for 3 at andrea's steakhouse around 5pm under the name wheeler,action-item
Today what does life mean to you,emotional-support
"Honestly, can you tell me what you think the meaning of life is",emotional-support
i am thankful for the answer,small-talk
where were you made,small-talk
I feel what's your opinion on the meaning of life,emotional-support
is cleaning the kitchen coming up on my list of things i have to do today,action-item
please tell me the month and year of expiration for my discover card,unknown
go to whisper mode until i say to go back to normal,unknown
tell me a joke about the subject of sailing,small-talk
"Honestly, i want to know what the purpose of life is",emotional-support
what's the nearest starbucks,unknown
could you check and let me know roundtrip flights from dallas to houston for march 7 and march 20,action-item
"goodbye, helpful ai device!",small-talk
hi how are you,small-talk
thank you for the help,small-talk
"on the 22nd of this month, we need to clear our calendar so we can leave it open for mark to visit",reminder
i would like to change your name to a different one,unknown
meaning of life is,emotional-support
"yo, hows it going",small-talk
"i need to set up a vacation request, what do i need to give you",reminder
clear my calendar for tomorrow,reminder
I feel i wish to know the meaning of life,emotional-support
send money from one account to another,action-item
can you schedule a meeting with steve at the office,reminder
I feel what's life mean to you,emotional-support
when is an oil change needed by me,unknown
it was very good to talk to you,small-talk
please book me a room in austin from tomorrow to the 2nd,action-item
set a brand new timer for eight seconds,reminder
"which health plan do i have, again",unknown
what's the spanish word for pasta,action-item
where will i find my w-2,unknown
i need a new house insurance plan,unknown
Recently tell the meaning of life,emotional-support
can you look up the carry-on restrictions for delta,unknown
i need to add iep meeting to my calendar on april 15th,reminder
do i have any vacation days left,unknown
i need water on my shopping list and beer off of it,action-item
thanks for that response,small-talk
help me book a car rental in austin for april 11th to 13th get me a sedan if possible,unknown
please speak to me in chinese,action-item
how do i get to the train on foot,unknown
how can i stop my credit score from dropping,unknown
do you know if bottlenecks takes dinner reservations,unknown
may i apply for a new credit card,unknown
see ya!,small-talk
take out of my checking 400 dollars and put it into my emergency savings account,action-item
"I feel what is the meaning behind life, do you think",emotional-support
look to see if i have folding laundry on my to do list,action-item
how do i change oil on a car,unknown
what amount of gas is in my car,unknown
what appointments do i have on thursday the 14th,reminder
Today is there really an answer to the meaning of life,emotional-support
Sometimes what do you think about the meaning of life,emotional-support
"if i want to cash in my american express rewards, how do i do that",unknown
what is intercontinental mean,unknown
who created your ai program,small-talk
"ai, do you like your name",unknown
i need to request pto for march 2 and 3,reminder
how do i schedule car maintenance,unknown
how many vacation days have i accumulated,unknown
why isn't it letting me into my bank account,unknown
i'd like to know when you were born,unknown
what sort of stuff do you know,small-talk
Sometimes the meaning of life,emotional-support
can you look at when the next iphone is due out,unknown
exactly what does altruism mean,unknown
what words would i use to tell someone i am lost if i were japanese,action-item
what did i do with my phone,action-item
Recently what is your take on the meaning of life,emotional-support
do i have a note on the calendar for black friday,reminder
i would like you to set the timer to go off in ten minutes,reminder
find me a hotel in seattle with great reviews,action-item
how is my credit looking,unknown
i go by brad,small-talk
would you let me know the carry-on restrictions for american airlines,unknown
please phone lizzy,unknown
find me a flight out of la to chicago on march 3rd for under $500,action-item
do you know when i last took my car to get checked,unknown
schedule a pto request for me on march 1-2,reminder
are there any good hotels in salem,action-item
my chase account has a hold why,unknown
"so, where do you come from",small-talk
can i schedule a car repair,unknown
find out how many miles the mississippi waterway runs,unknown
which insurance do i have,unknown
i need to add my doctor's appointment to my calendar for the first,reminder
which company programmed you,small-talk
would you freeze my bank account,unknown
i need to know when my mastercard will expire,unknown
change my amex pin to 1234,unknown
I feel what is our purpose,emotional-support
"nice talk, talk to you later",small-talk
i want to report a damaged card,unknown
send 50 dollars between bank of america and chase accounts,action-item
i need you to schedule an alarm,reminder
can you translate hello into swedish for me,action-item
it was nice to talk it out with you,small-talk
i wanna know something funny,small-talk
what are the nutrition facts for peanut butter,unknown
Sometimes what's the meaning of this life,emotional-support
signing off,small-talk
tell me what tomorrow's date is,unknown
what's the highest building in the world,unknown
I feel is love the meaning of life,emotional-support
i'd like to pencil in a meeting with seth at 11am,reminder
how high is my credit limit for my walmart card,unknown
the location of my phone is unknown to me,action-item
what's the word for trees in norway,action-item
thanks a lot for the answer,small-talk
Recently what's the purpose of life,emotional-support
speak in french please,action-item
