text,intent
can you please request pto for march 2 and 3,reminder
i would like to request pto for march 2 and 3,reminder
i need to request pto for march 2 and 3,reminder
let me know how to make a vacation request,reminder
i need to make a vacation request; how,reminder
can i put in a pto request for may 1 to may 5,reminder
tell me how to make a vacation request,reminder
i would like to know if i can put a pto request in for march 19 to march 20,reminder
am i able to put in a pto request for may 6 to may 18,reminder
provide assistance on what to do to make a vacation request,reminder
i need to know how to make a vacation request,reminder
i need to know if i can put a pto request in for march 10 to march 12,reminder
tell me whether i can put a pto request in for may 10 to may 15,reminder
what is the process for making a vacation request,reminder
what's the method for requesting a vacation,reminder
what are the steps required for making a vacation request,reminder
please help me make a request for vacation,reminder
i have a vacation request that i need made,reminder
what are some ways to raise my credit score,unknown
what will help my credit score,unknown
are there any videos on how to repair my credit score,unknown
what can i do to get a better credit score,unknown
will getting a credit card help my credit score,unknown
what are the top 10 ways to build my credit score,unknown
how can i build up my credit score,unknown
how can i build my credit score,unknown
what are some easy ways to make my credit score better,unknown
how do i prevent my credit score from dropping,unknown
how should i go about improving my credit score,unknown
how can i make sure that my credit score does not decrease,unknown
what is the best way to insure that my credit score doesn't decrease,unknown
what things can i do to increase my credit score,unknown
what is the best way to keep my credit score from going down,unknown
what is the best thing for me to do to improve my credit score quickly,unknown
how can i safeguard my credit score from dropping,unknown
do i have options on how to improve my credit score,unknown
what steps can i take to improve my credit score,unknown
show me a plan to help my credit score rating,unknown
tell me something interesting about lake tahoe,unknown
tell me a cool fact about reno,unknown
tell me something interesting about new york state,unknown
give me a cool fact about new orleans,unknown
give me a cool fact about seattle,unknown
tell me something interesting about elephants,unknown
tell me something interesting about dogs,unknown
give me a cool fact about potatoes,unknown
give me a cool fact about puppies,unknown
give me a cool fact about lsd,unknown
tell me a fun fact about the moon landing,unknown
what's a fun fact about axolotls,unknown
tell me a fact about the maned wolf,unknown
give me harry potter trivia,unknown
tell me an axolotl fact,unknown
i need a spider fact,unknown
show me trivia about cats,unknown
read me some different cat trivia items,unknown
find me cat trivia now please,unknown
read me cat trivia,unknown
i need new language,action-item
switch language for me,action-item
please change your language setting to russian,action-item
you must change your language setting to russian,action-item
you need to change your language setting to russian please,action-item
change language please,action-item
please change your language setting to spanish now,action-item
change your language setting to spanish,action-item
i want new language,action-item
please change the language,action-item
speak arabic,action-item
speak navajo,action-item
speak german,action-item
speak french,action-item
speak mandarin,action-item
change response language from mandarin to english,action-item
please respond to me in english from now on,action-item
please change your response language to english,action-item
how can i change your response language,action-item
change the language to english,action-item
when's the next time i get paid,unknown
when's my next paycheck coming in,unknown
what's the date of my next paycheck,unknown
when do i get my paycheck,unknown
which day is pay day,unknown
which day is it that my payment comes in,unknown
when am i paid or how often,unknown
how many days until i get my payment,unknown
what was the last check date,unknown
when was i paid most recently,unknown
what was the date of my last paycheck,unknown
when did i get my check last,unknown
how long has it been since i was paid,unknown
how many times do i get paid in march,unknown
what date is the next payday,unknown
i am trying to find out when is the next payday,unknown
what date is the next day i get paid,unknown
when is the next payday,unknown
what is my pay,unknown
how much is on my paycheck this week,unknown
what's the time of arrival on my new credit card,unknown
tell me the duration it takes to get a new cc,unknown
is it a short time before i receive my new credit card,unknown
how long before my updated cc takes to arrive,unknown
how long does it take a new card to arrive in the mail to me,unknown
what is the length of time it takes a new card to get mailed to me,unknown
about how long does it usually take a new card to get mailed to me,unknown
how much time does it take a new card to get mailed to me,unknown
how soon does it take a card new card to get mailed to me,unknown
"after losing a credit card, how long does it take to get a new one",unknown
"if i lose my credit card, will i get a replacement immediately",unknown
what is the time frame for receiving a new credit card if my original one gets lost,unknown
will i have to wait a long time to receive my new credit card after i lost my old one,unknown
how long should i expect to wait for my replacement credit card,unknown
will my new credit card be here this week,unknown
how long does it usually take for a new credit card to come,unknown
what is the eta on getting a replacement card,unknown
show tracking information on my replacement credit card,unknown
when will i get my replacement card,unknown
will it take more than a month to get a new card,unknown
what time is it in france,unknown
what's the time in london right now,unknown
what hour is it in london,unknown
what's the time,unknown
what is the time in london,unknown
i need to know what time it is,unknown
what time of day is it in london,unknown
tell me what time it is,unknown
what time of day is it,unknown
what time is it in the pacific timezone,unknown
what time is it in pacific standard time,unknown
what time is it over in pacific time,unknown
what time is in over there in pacific standard time,unknown
what time is it in the pacific standard time,unknown
what is the time in paris now,unknown
time in manhattan,unknown
how late is it now in ourense,unknown
what is the current time right now in hollywood,unknown
what time is it now in michigan,unknown
what's the clock say,unknown
what is the present status of my credit card application,unknown
what is the current status of my credit card application,unknown
in what status is my credit card application currently in,unknown
how far along is my credit card application,unknown
what is the status of my credit card application looking like,unknown
pull up my credit card application's current status,unknown
has my credit card application processed yet,unknown
check the status of my credit card application please,unknown
has my card application successfully gone through,unknown
go to the credit card site and check if my application has gone through,unknown
has my credit card application been approved yet,unknown
can you check on the status of my credit card application,unknown
i would like to know if my visa card application has been approved,unknown
can you let me know if my visa card has been approved,unknown
at what point will the review of my credit card application be completed,unknown
can you check if my mastercard application has been reviewed yet,unknown
has my visa card application been approved yet,unknown
please let me know how my credit card application is going,unknown
when will my credit card application be reviewed,unknown
please let me know if my discover card application has been approved,unknown
when is my flight going to board,unknown
when am i boarding my flight,unknown
at what time should i be boarding my flight,unknown
can you please update the status of flight dl123,unknown
when is the expected arrival of flight dl123,unknown
is flight dl123 due to land as schedule,unknown
will flight dl123 be on time,unknown
are there any expected delays for flight dl123,unknown
i would like to know flight dl123's status,unknown
tell me flight dl123's statud,unknown
for flight dl123 what's the status,unknown
could you tell me the status of flight dl123,unknown
when is my flight expected to arrive,unknown
at what time is my flight scheduled to land,unknown
what time is my flight going to land,unknown
ostensibly when is my flight going to land,unknown
when is my flight going to arrive,unknown
what time does my flight board,unknown
what is the boarding time for my upcoming flight,unknown
when is my flight boarding,unknown
flip a normal coin,unknown
flip a heads or tails coin i pick heads,unknown
"flip a coin, i choose heads",unknown
please flip a coin - i call heads,unknown
can you flip a coin i pick heads,unknown
please flip coin ai,unknown
flip a coin now,unknown
please flip a coin,unknown
i need you to flip a coin,unknown
flip coin ai,unknown
please go ahead and flip a coin,unknown
flip the coin ai,unknown
please flip coin,unknown
i wanna flip a coin,unknown
please flip the coin,unknown
please flip the coin over ai,unknown
i'm wanting you to flip a coin,unknown
flip me a coin,unknown
i want you to flip a coin now,unknown
i call tails and you call heads on this coin flip i need you to do,unknown
will you start calling me chaz,small-talk
stop calling me charlie and from now on always call me chip,small-talk
"from now on, refer to me as chuck",small-talk
please call me charlile from here on out ok,small-talk
i want you to call me a different name so can you call me charchar,small-talk
please change my name to tom,small-talk
"from now on, my name is tom",small-talk
i want to be called tom,small-talk
please call me tom,small-talk
you can call me jason,small-talk
my name is jason,small-talk
jason is my name,small-talk
i prefer to be called jason,small-talk
i am jason,small-talk
you shall address me as nick,small-talk
my name is nick,small-talk
refer to me as nick,small-talk
the name is nick,small-talk
you could say my name is nick,small-talk
i am camile,small-talk
what place were you born at,small-talk
where were you born as a kid,small-talk
tell me where you were created,small-talk
what place were you made at,small-talk
what place were you actually born at,small-talk
what place do you come from,small-talk
where do you hale from,small-talk
what place were you born,small-talk
where are you from before you got here,small-talk
let me know when you were made,small-talk
where you from,small-talk
where are you from if i may ask,small-talk
where are you from oroginally,small-talk
where are you originally from before coming here,small-talk
what's your home town,small-talk
what country are you from,small-talk
are you from here,small-talk
were you made here,small-talk
where did you come from,small-talk
you were made where,small-talk
"i'm not sure if watermelon is on my shopping list, but if it isn't can you put it on there",action-item
is it possible to add grapes to my shopping list if they aren't on there already,action-item
please add bananas to my shopping list unless i already did,action-item
can you add apples to my shopping list if they aren't already on there,action-item
would you be willing to add bread to my shopping list if i haven't already,action-item
"i'm out of cleaning supplies, remind me on my list",action-item
"i don't have any more steak, please put that on my grocery list",action-item
"i'm out of apples, add that to my list",action-item
"i have no oranges, put them onto my list",action-item
do i have peanuts on my shopping list if not please add it,action-item
do i have soda on my shopping list if not please add it,action-item
i'm out of kleenex so will you put that on my shopping list,action-item
i'm out of paper towels so will you put that on my shopping list,action-item
i'm out of toilet paper so will you put that on my shopping list,action-item
do i have graham crackers on my shopping list if not please add it,action-item
i'm out of clorox wipes so will you put that on my shopping list,action-item
do i have tortillas on my shopping list if not please add it,action-item
i'm out of laundry detergent so will you put that on my shopping list,action-item
do i have cheese on my shopping list if not please add it,action-item
i'd like you to add oranges to my shopping list,action-item
what categories of questions can you answer,small-talk
what kind of questions can i ask the ai,small-talk
can you tell me what i can ask the ai,small-talk
what types of things can i ask the ai,small-talk
what kind of things can i ask the ai,small-talk
what can i ask the ai,small-talk
what questions can you answer,small-talk
what am i allowed to ask you,small-talk
what all can i ask you,small-talk
what are you capable of doing and answering,small-talk
what are you capable of answering,small-talk
what kinds of subjects do you know about,small-talk
what are the different subjects that you know,small-talk
which kinds of info are you familiar with,small-talk
what kind of information do you know,small-talk
which subjects can you tell me about,small-talk
can i ask you all different types of questions,small-talk
can you answer all types of questions,small-talk
what topics can you answer questions on,small-talk
what kind of questions can you answer,small-talk
i do not have that information,unknown
i can't give you an answer to that,unknown
i do not know the answer to that,unknown
perhaps,unknown
possibly either one,unknown
i don't have any idea,unknown
can't say,unknown
i couldn't say either could be possible,unknown
which one i don't know either i guess,unknown
i just don't know,unknown
don't have any idea,unknown
i couldn't say,unknown
i don't know the anwser,unknown
couldn't tell you,unknown
either i am not sure,unknown
either of them could be i'm not sure,unknown
don't know,unknown
idk,unknown
i don't have an answer for that,unknown
maybe it does,unknown
procedure to change oil in car,unknown
way to change car oil,unknown
how to change oil of a car,unknown
how can i change car oil,unknown
"i want to know how to change oil, tell me the steps one at a time while i work through it",unknown
find step by step instructions on how to change my oil,unknown
how do i change oil on a car,unknown
where can i find a page showing my how to change my oil,unknown
what weight oil do i need and how do i change the oil for my chevy truck,unknown
what kind of oil do i need for my ford truck and how can i change it,unknown
what kind of oil and how much do i need for my toyota tacoma truck and how do i do it,unknown
i need to know how to change my oil and what kind of oil for a 2007 trailblazer,unknown
what oil do i need for my honda crv and how do i change it,unknown
"i need a tutorial to learn how to change my oil, please",unknown
what steps do i need to follow to change the oil in my car,unknown
can you get me simple instructions on how to do an oil change,unknown
i want to figure out how to do an oil change on my car,unknown
can you teach me to change my oil,unknown
can you tell me how to change my oil,unknown
can you find some instructions on how to change my oil,unknown
please reserve a table for 2 at lucky's under the name melissa at 7 pm,action-item
i would like to reserve a table for 2 at sam's steakhouse under the name jessie at 6:30 pm,action-item
help me reserve a table for 3 at lucky's under the name crystal at 8 pm,action-item
would you please schedule a reservation for 2 at lucky's under the name sam at 7:30pm,action-item
could you please reserve a table for 6 at lucille's under the name tom at 5pm,action-item
is there a reservation available at ruth chris today,action-item
are there 8pm tables available at texas roadhouse,action-item
book a reservation for 3 at xenophobe under the name zebee,action-item
i need to book a reservation for 3 at xenophobe under the name zebee,action-item
book 3 under the name zebee at xenophobe,action-item
what reservations are available for 3 people at the xenophobe,action-item
under the name zebee book a reservation at the xenophobe for 3,action-item
use the name wheeler to reserve a table for 3 at andrea's steakhouse at 5pm,action-item
make a reservation for wheeler party of 3 for 5pm at andrea's steakhouse,action-item
reserve a table for 3 at andrea's steakhouse around 5pm under the name wheeler,action-item
i need a table for 3 at 5pm at andrea's steakhouse under wheeler,action-item
reserve a table for 3 under the name wheeler at andrea's steakhouse for 5pm,action-item
book room for me and her under the name kendra,action-item
allow me to turn on the lights,action-item
make me a reservation for 5 people at village tavern for the calloways,action-item
do i have more than $100 in my pnc account,unknown
what's my pnc balance,unknown
how much is in my pnc account,unknown
how much money do i have in my pnc account,unknown
what is the balance in my pnc account,unknown
can i get beer within my deposit account,unknown
is there enough in my savings account to get a new tv,unknown
could be there be a good amount of money in my checking account to go on a vacation,unknown
can i afford a new tv from my savings account,unknown
will i have enough to get a new roku with my savings account,unknown
do you think i have enough money in my chase account for a new pair of sneakers,unknown
i hope i have enough money in my chase account to buy new clothes,unknown
i am not sure if i have enough money in my chase account to buy a new dress,unknown
i wonder if i have enough money in my chase account for a bike,unknown
i keep trying to figure out if i have enough money in my chase account to purchase a new set of tires,unknown
please tell me how much money i have in my bank accounts,unknown
i need to know how much money i have in all of my bank accounts,unknown
how much money is in all of my bank accounts,unknown
how much money is in my bank accounts,unknown
can you tell me how much money i have i my bank accounts,unknown
please double check my reservations for six at mani,unknown
confirm my johnny rockets reservation for this evening,unknown
confirm four for my reservation at fiji,unknown
make sure my flower bar reservation is scheduled for tomorrow,unknown
please double check on my reservations for buffalo wild wings at five for the game,unknown
i would like to try and confirm that i have a reservation at applebee's for kristen,unknown
i would like to try and confirm that i have a reservation at chili's for bart,unknown
i would like to try and confirm that i have a reservation at longhorn for justin,unknown
i would like to try and confirm that i have a reservation at outback for josh,unknown
i would like to try and confirm that i have a reservation at carrabbas for heather,unknown
i want to confirm friday's reservation at 2:00,unknown
confirm my friday reservation at 2:00,unknown
i am here to conform my friday reservation at 2:00,unknown
you know the reservation i have on 2:00 friday i confirm it,unknown
i'd like to confirm the 2:00 reservation for friday,unknown
check to see if i am still booked to be eating at gusto handcrafted pasta & pizza at 6:30 pm,unknown
is my dinner reservation for gusto handcrafted pasta & pizza at 6:30 pm still valid,unknown
please call gusto handcrafted pasta & pizza and ask them about the status of my reservation for 6:30 pm,unknown
will you check to see if i am still reserved for 6:30 pm at gusto handcrafted pasta & pizza,unknown
please confirm my reservation for dinner at gusto handcrafted pasta & pizza at 6:30 pm,unknown
may you stop a paymet on my account,unknown
how we stop my account,unknown
can you place a stop on my account,unknown
can we stop my bank account,unknown
please put a block on my capital one account immediately,unknown
please put a block on my discover account immediately,unknown
please put a block on my regions account immediately,unknown
please put a block on my wells fargo account immediately,unknown
please put a block on my us bank account immediately,unknown
i need you to act swiftly and freeze all activity on my capital one checking,unknown
place a hold on my chase money market market account at once,unknown
i need to block all transactions from going through on my citi checking account straight away,unknown
please immediately block my navy federal credit union account,unknown
can you initiate a block on my bank of america checking asap,unknown
i need my savings account placed under a block as soon as possible,unknown
please put a hold on my retirement account right now,unknown
i need a block placed right away on my joint checking account,unknown
i want a block placed on my checking account right away,unknown
i want a block placed on my college fund account immediately,unknown
can you please freeze my account,unknown
will my 401k rollover,unknown
will my 401k carryover,unknown
will my 401k carryover or not,unknown
can my 401k rollover or not,unknown
could my 401k be rolled over,unknown
can the 401k i have be rolled over,unknown
is there a way to roll over my 401k,unknown
is it possible to rollover my 401k,unknown
am i able to rollover my 401k,unknown
how should i rollover my 401k,unknown
i need help with my 401k rollover because i just got a new job,unknown
how do i do a 401k rollover when switching to a new job,unknown
due to getting a new job i need assistance with my 401k rollover,unknown
"i'm at a new job and i need to do a 401k rollover, how do i do this",unknown
what are you suppose to do with a 401k rollover when getting a new job,unknown
how do i rollover my 401k,unknown
rolling over my 401k help,unknown
assistance in rolling over my 401k,unknown
401k rollover help,unknown
rollover my 401k assistance,unknown
who is your designer,small-talk
what company is responsible for your design,small-talk
who is responsible for your design,small-talk
what firm is responsible for your design,small-talk
who were you created by,small-talk
what is the company that made you,small-talk
who are you manufactured by,small-talk
who is your manufacturer,small-talk
who makes you,small-talk
what organization manufactures you,small-talk
who's your creator,small-talk
what manufactures you,small-talk
who is the person responsible for creating you,small-talk
who brought you into existence,small-talk
who formed thou,small-talk
who conjured you,small-talk
who programmed you,small-talk
where were you programmed,small-talk
what company designed you,small-talk
"who or what programmed you, do you know",small-talk
whats the travel time to redmond right now,unknown
"travel time to bend, oregon",unknown
how long will the trip to portland be,unknown
how long is it going to take me to get to bellevue,unknown
how long will it take to get to tacoma,unknown
how long is the drive to the closest gas station,unknown
how much time to drive to the closest bank,unknown
can you tell me the drive time to the nearest gas station,unknown
i need to know how long it will take me to get to the bank,unknown
how long will it take for me to get to the gas station,unknown
what is the remaining time until we are at our destination,unknown
how many miles away am i from madison square garden,unknown
how long would it take to get to chicago by bus,unknown
how long to seattle on a bus,unknown
how long is it to ann arbor by bus,unknown
how long to washington dc on a bus,unknown
"if going to lake placid, ny, how long would it be by bus",unknown
what is the average time it takes to get to target in los angeles,unknown
can you please tell me how long it will take to get to target in austin,unknown
how long would it take to get to mcdonald's in houston,unknown
do you know who i am,unknown
do you have my name programmed,unknown
do you think my name is jeff,unknown
is joey my name,unknown
tell me my name,unknown
say my name in a sentence,unknown
what is my name,unknown
tell me my name the way its saved,unknown
tell me what my name is,unknown
how is my name saved,unknown
which way do you have my name saved,unknown
in what form is my name saved,unknown
how does my name appear,unknown
how is my name saved aw,unknown
how do you show my name,unknown
do you know what my name is,unknown
are you able to call me by my name,unknown
what do you want to call me,unknown
what is the name you would use for me,unknown
what name is saved for me,unknown
what is the timezone of saigon,unknown
what timezone is hanoi in,unknown
what timezone do ho chi minh use,unknown
what timezone is honolulu in,unknown
what timezone is paris in,unknown
which time zone is germany is in,unknown
what are the time zones of russia,unknown
which time zones does european countries use,unknown
what is the time zone of china,unknown
tell me the timezone for hong kong,unknown
which timezone contains the city of orlando,unknown
british columbia can be found in what timezone,unknown
in what timezone is atlanta located,unknown
give me the timezone where vancouver is,unknown
what timezone is the country in,unknown
is the timezone there different,unknown
what's the timezone over there,unknown
what's london's timezone,unknown
do you know london's timezone,unknown
what timezone is london in,unknown
i want you to skip past this song to the next track,unknown
please skip this song and go to the next one instead,unknown
would you skip past this song and just play what comes next,unknown
"i dont want to hear this song, just play the next one",unknown
let's skip over this song and listen to the next tune instead,unknown
would you play the next song,unknown
i want you to skip this song,unknown
i need for you to skip this song,unknown
please skip this song for me,unknown
would you skip this song,unknown
i don't want to hear this song; skip it,unknown
"now, i want you to play the next song",unknown
i am needing the next song to be played,unknown
i want the next song played,unknown
needing you to play the next song,unknown
next song please,unknown
change this song it sucks so bad,unknown
can i hear the song after this one,unknown
can you skip this song and go to the next one,unknown
what is the next song on this playlist,unknown
show all purchases of video games,unknown
show me all video games purchased,unknown
list all purchases of video games,unknown
show me all new transactions,unknown
what transactions have i made in the last few weeks,unknown
how much money have i spent on restaurants,unknown
what transactions did i put on my visa last month,unknown
what transactions have i accrued buying dog food,unknown
what are my recent purchases,unknown
please tell me all the purchases on my hy-vee card for this statement period,unknown
please let me review all items on my mastercard from this billing period,unknown
please tell me this month's transactions on my visa,unknown
show me all transactions for current statement,unknown
i want to see transactions from this month,unknown
how many paypal transactions did i have last week,unknown
what items do i have on my amex card this month,unknown
what transactions do i have on my visa from the last 4 weeks,unknown
what withdrawals were there on my account yesterday,unknown
was my last transaction at walmart,unknown
how much was my last transaction for,unknown
where do you want to eat tonight,unknown
where is your favorite restaurant to eat,unknown
do you have any restaurant recommendations,unknown
where should we eat tonight,unknown
where are the best places to eat,unknown
are there any vegan restaurants in my town,unknown
list a few pizza places that have seating near my current location,unknown
are there decent seafood restaurants in portland,unknown
name a few good steakhouses in chicago,unknown
does brooklyn have good italian restaurants,unknown
i would love to find a few vegan restaurants in back bay,unknown
suggest a few local eateries in mid price range,unknown
i feel like going out for sushi tonight who in the area serves good sushi,unknown
