text,intent
where was your home before here,small-talk
what do i have on my todo list,action-item
do i have anything scheduled on my calendar for next tuesday,reminder
can you tell me which vaccines i need to take before mexico,unknown
"when is our next free day, please",unknown
tell me today's date,unknown
show me the top 10 quotes by mark twain,unknown
i appreciate what you did,small-talk
set an alarm for me,reminder
"could you translate this into chinese for me, please",action-item
how should i say hello in french,action-item
i forgot my pin number to my chase account,unknown
do you know how to say where is the restroom in french,action-item
when are my meetings today between noon and one,unknown
can you get a table for 5 at joe's at 5pm,action-item
add groceries to my shopping list as i am out,action-item
i would like to know what flights are available out of el paso to dallas on june 10 for under $300,action-item
is it recommended to get any specific shots before i travel to argentina,unknown
cancel my reservation for bob at red robin,unknown
"what've i got set for friday, the 13th, of next year",reminder
i need to do laundry later today,unknown
do i have my nephew's birthday marked for november 10th,reminder
how long can i put pizza in the fridge,unknown
can you find out why is my bank account frozen,unknown
may i know who made you,small-talk
where can i find my phone,action-item
please tell me the bill's minimum payment,unknown
is my request going to be approved for vacation,unknown
please send my location to rob and mary,unknown
i want to use the female voice now,unknown
can you read my to do list to me please,action-item
locate my cellphone in this room,action-item
get me info on my mpg,unknown
can you talk to me in french,action-item
how do i convert inches and centimeters,unknown
jason is my name,small-talk
i want to edit the language,action-item
no that isn't right,unknown
tell me how many days off you see that i have taken so far this year please,unknown
how are you this day,small-talk
"well, i guess maybe",unknown
what is the weather outside,unknown
can you set up alarms for one in the afternoon and ten at night,reminder
who made you up,small-talk
how can i say thank you very much in chinese,action-item
how have you been,small-talk
ai who made you,small-talk
how tasty is the pizza here,unknown
what do you think is the meaning of life,emotional-support
please tell me how to ask for a taxi in french,action-item
what do i have scheduled on 3/15,reminder
how does one say wonderful in german,action-item
who are the people responsible for you,small-talk
what company designed this,small-talk
i would like to know my current location,unknown
are there any shots i should get before going to south africa,unknown
what level is my gas tank at,unknown
create an alarm for 6am,reminder
wake me up with an alarm at 6am,reminder
remove the june 12 event called sasha's wedding from my calendar,reminder
i am happy you did that for me,small-talk
get me a flight booked from houston to phoenix with american airlines,action-item
who programmed you,small-talk
what is my health plan,unknown
i need to know how to schedule a meeting,reminder
help me figure out where my cell phone is,action-item
what's the total i owe on all my bills,unknown
has ruby tuesday got good reviews,unknown
talk to me in spanish from now on,action-item
would you book me a flight to miami from dallas on southwest airlines,action-item
is my meeting with frank on my calendar,reminder
help me move my money please,action-item
could you set up a timer for me,reminder
tell me if you like cats or dogs,unknown
inform me on the directions to jump start my car,unknown
how to keep credit score high,unknown
can you tell me who made ai,small-talk
see if all the doors are locked,unknown
i need a hotel in new orleans with awesome reviews,action-item
set an alarm to go to sleep and another to wake up,reminder
do heads or tails,unknown
walk me through the process of scheduling a meeting,reminder
can you tell me how i would normally say thank you as a french person,action-item
can you schedule a meeting with james at the office,reminder
"i don't have any more steak, please put that on my grocery list",action-item
what's the name you like to be called,unknown
check meeting rooms available between one and three pm,reminder
do you know any jokes,small-talk
how do you feel,small-talk
what company coded you,small-talk
tell my bank i will be traveling in brazil from june 1st to july 1st,unknown
can you tell me what my may 1st will be like according to my calendar,reminder
you need to respond to a new name called joey,unknown
do i have tortillas on my shopping list if not please add it,action-item
which company can i credit your design to,small-talk
how do i build my credit score,unknown
do a websearch for direct deposit set up,unknown
how many ounces in a liter,unknown
where should i spend my time off,unknown
make sure my reservation is happening for john at olive garden,unknown
what's up with you,small-talk
is it safe for people to travel to pakistan,unknown
current weather,unknown
please allow dan to see my location,unknown
are you feeling okay,small-talk
goodbye to you,small-talk
what do i have planned for 3/5,reminder
can i raise the credit limit for my discover card,unknown
i need a flight from denver international to new york international round trip for the 4th though the 8th,action-item
can you tell me this song,unknown
do me a favor and put sharpies on my list for shopping,action-item
"can you play the song that goes like, ""starships were meant to fly",unknown
please reserve a table for 2 at lucky's under the name melissa at 7 pm,action-item
the list should also have 2 loaves of bread,action-item
you can refer to me as frank,small-talk
can i get this car's mpg,unknown
thanks for the help,small-talk
"was a hold placed on my wells fargo account, and if so why",unknown
please list my meetings for today,unknown
how do vietnameses people say hello,action-item
write apples on my shopping list,action-item
walk me through the process of reporting a lost card,unknown
"from now on, refer to me as chuck",small-talk
"set my alarm for five tomorrow morning, please",reminder
when will my credit card application be reviewed,unknown
see you in a while,small-talk
thanks for the assist,small-talk
what is on march 2 calendar,reminder
"i need to change my insurance policy, do you know how",unknown
what is the cost of my rent and water bills,unknown
what topics are you versed in,small-talk
please set the alarm,reminder
my car takes what kind of fuel,unknown
can you find my lost phone,action-item
what subjects do you know well,small-talk
"what do i have on my calendar today, the 3rd",reminder
"it was a pleasure talking to you, goodbye now",small-talk
why are humans on earth,emotional-support
did i mark the mechanic's appointment on my calendar,reminder
"later, thanks for chatting",small-talk
i really thank you,small-talk
who crafted you,small-talk
what name do you prefer,unknown
tell me where you were created,small-talk
"""i'll leave to lax and go to phl for $120 on nov 5th",action-item
i want to travel this year but i need some suggestions,unknown
i need you to pair with my phone,unknown
tell my bank that i will be taveling to south korea,unknown
how is ford's stock doing,unknown
how are the interest rates at chase bank,unknown
please refer to me as sharon,small-talk
please change the pin on my bank of america account to be 1234,unknown
what is the time is central time zone,unknown
lets go threw some trivia on sports,unknown
wash windshield,unknown
i need to get a flight out of lax to dia on the 16th for under four hundred,action-item
"thanks, i appreciate it",small-talk
what will my state taxes cost,unknown
remind me of the date of the event called 'anniversary dinner,reminder
for flight dl123 what's the status,unknown
who supplied your instructions,small-talk
can you look to see whether feeding the fish is on my to do list,action-item
can you translate where's the bar into irish for me,action-item
"find a columbus, ohio hotel with good reviews",action-item
how ya doin,small-talk
i have much gratitude for your help,small-talk
what's the time it takes to make a decent omelette,unknown
"i appreciate your help, thank you",small-talk
"can you translate this name into spanish for me, please",action-item
tell me what subjects you like,small-talk
walk me through on how to make a vacation request,reminder
find articles about the protests in parisi,unknown
what are all the things on the shopping list,unknown
what's the meaning of affiliate,unknown
what was the date of my last auto appointment,unknown
put carrots on my shopping list,action-item
where are you from before you got here,small-talk
will i be charged if i use my card in russia,unknown
can we wire some money over to the other account i have,action-item
please tell me how to go about asking for a vacation,reminder
set up a 52 minute timer,reminder
what kinds of things would you be able to help me with,small-talk
please speak german to me from now on,action-item
where is your country of origin,small-talk
"i want to eat out, where should i go",unknown
"on my citi card, the one that ends 1234, what's the apr",unknown
please pay electric bill,unknown
provide assistance on what to do to make a vacation request,reminder
is there an option to change the language,action-item
"what can i ask you, ai",small-talk
can you help locate my phone,action-item
can you tell me a joke,small-talk
please set an alarm for 5 am,reminder
where am i located currently,unknown
tell what is showing on my calendar for the 17th of march,reminder
"in paris, get me a hotel room for 4 people from march 1st to 3rd",action-item
"throw eggs on my shopping list, please",action-item
what is the time signature for the castlevania song bloody tears,unknown
add soda on my shopping list and remove carrots,action-item
please call me frank from now on,small-talk
set a timer for me,reminder
where the bleep did i put my bleeping phone,action-item
at what point should the oil be changed again,unknown
do i have any calendar entries for march 8th,reminder
tell me what the time is in dallas,unknown
how do i get to the grocery store by bus,unknown
what are in my reminders list,unknown
what kind of electrical outlets do they use in z,unknown
should i purchase a new plug converter when in france,unknown
so what subjects do you like,small-talk
can you call an uber for 2 to go to proof on main,unknown
tell me what you think my name is,unknown
what city were you born in,small-talk
what do i need when i go shopping,unknown
i owe you one,small-talk
"could you submit a pto request for me from dates mar 3 to 9, please",reminder
can i increase my credit limit to 1100 dollars,unknown
get me a meeting room for 9am on friday,reminder
ai goodbye,small-talk
"what hotels are near, ny, ny for the 9th to 11th",action-item
"good morning, ai",small-talk
how can i stop my credit score from dropping,unknown
how are you today,small-talk
is there meaning to life,emotional-support
this ai was made by what person or team,small-talk
please clear my calendar,reminder
can you call me bobby instead of bob,small-talk
i need a meeting room at 2pm on friday,reminder
move two hundred dollars to my chase savings account to my wells fargo checking account,action-item
change voice speed,unknown
what is the process for requesting a vacation,reminder
i think a thief used my card,unknown
from where did you originate,small-talk
how the bus moves,unknown
"hey, what's new",small-talk
what gas does my car use,unknown
add a doctor's appointment to my calendar for friday,reminder
how long can i expect to wait for a new card,unknown
tell me what company programmed you,small-talk
do i meet with joan today,unknown
find out the next available date and time i can go to get my oil changed please,unknown
how long before my amex card expires,unknown
talk to me in italian,action-item
i really need you to find me a hotel with good reviews in phoenix,action-item
tell my bank i'll be in cuba beginning the 2nd,unknown
"can you give me some fun suggestions for tourists to check out in las vegas, please",unknown
book me a hotel in seattle near the space needle from march 3rd to 5th,action-item
the table should be reserved at 8pm at tropicana using martins name and it should be for 5 people,action-item
what's 3 plus 3,unknown
what southwest flights are there for lax to sfo arriving april 1st and returning april 7th,action-item
can i make a transfer between my accounts,action-item
what's the interest rate on my savings,unknown
book me a hotel in new york near the empire state building from marc 2nd to 4th,action-item
i need to remove an event from my calendar,reminder
it was nice to catch up with you,small-talk
do a coin flip,unknown
can i switch cream out for milk,unknown
tell me the meaning of life,emotional-support
under the name zebee book a reservation at the xenophobe for 3,action-item
what is my current signal strength,unknown
book a delta flight to arizona from pittsburgh,action-item
do i owe any bills,unknown
how much dollars do i receive if i trade in 6 yens,unknown
help me set up a meeting please,reminder
how busy is mc donald at 8 in the morning,unknown
you have to connect to my phone,unknown
what can i do to get rid of this event,reminder
book me a hotel with good ratings in nashville,action-item
set an alarm to wake me up at 5:30am,reminder
"how do they say ""where's the bathroom"" in spanish",action-item
schedule flight from madison to atlanta on delta,action-item
what's the meaning of this life,emotional-support
speak louder please,unknown
do i have plans on 12/03/2019,reminder
are there meeting rooms available between 10-11,reminder
call me dad,small-talk
what do i need to make pasta,unknown
